fold,sample_id,segment_idx,recovered_pcc,left_pcc,right_pcc,best_input_abs_pcc,pcc_gain_over_best_input,rmse,mae,target_std
0,7,173,0.8947696059396718,0.5456804105851514,0.21900813731869367,0.5456804105851514,0.34908919535452043,192.50399756490586,148.92677193631678,430.76470182106937
0,24,167,0.8678531469680506,0.6185147003520484,0.20578837821334886,0.6185147003520484,0.24933844661600224,216.90703281020228,166.30073886716715,434.15403102946857
0,7,86,0.8946240907705139,0.5315162153742429,0.11766151215937254,0.5315162153742429,0.363107875396271,168.86781365124355,132.3958031203732,377.9072035089376
0,27,179,0.9695811814913099,0.7032214331891536,0.7070543192693378,0.7070543192693378,0.2625268622219721,168.26503790219525,131.16088327095508,685.1850739273997
0,3,39,0.862412012787507,0.13630879896035492,0.222021053869078,0.222021053869078,0.640390958918429,173.84831733826314,127.86071482089609,342.9645438545531
0,10,201,0.8920557617037447,0.19660321270490097,0.046317931316699056,0.19660321270490097,0.6954525489988437,151.09748826562733,117.6655042271465,333.6425581809872
0,22,257,0.8699539123363493,0.4373047486879119,0.24308236114726248,0.4373047486879119,0.4326491636484374,302.0850654986296,208.65457828450798,612.2433316477576
0,9,174,0.9112778047071204,0.19176029330011368,-0.07025465206320161,0.19176029330011368,0.7195175114070067,178.70552143391166,134.0511106401285,432.9339745077396
0,15,118,0.918731913164869,0.5701160526223954,0.1405210863986959,0.5701160526223954,0.3486158605424736,120.41184655395524,94.71854426642656,304.8293994651197
0,2,506,0.9228255968702325,0.2562253553640485,0.1543505187681092,0.2562253553640485,0.666600241506184,721.5185441578806,539.359158384204,1787.2928504771398
0,22,50,0.8757292153672936,0.35337869015786344,0.20312025065867773,0.35337869015786344,0.5223505252094303,294.6131917683582,226.2110125947833,610.1797434271182
0,32,58,0.8941962824868125,0.3309940238424644,0.33338291832553996,0.33338291832553996,0.5608133641612725,208.1819257471985,158.98308580563366,462.4908613317012
0,7,28,0.914566347824892,0.5362220467042426,0.1646398931762346,0.5362220467042426,0.37834430112064943,154.3156472620473,121.04547708387375,380.54636107193596
0,41,77,0.5329314858010393,0.043521951938718675,0.07480601014599433,0.07480601014599433,0.458125475655045,0.0036709145456579216,0.002647357101685168,0.004312961687156959
0,51,205,0.8832878981492202,0.03717530481654805,-0.2796497797443372,0.2796497797443372,0.6036381184048829,0.0031562894670150495,0.0024824732463727683,0.006175153674909878
0,25,59,0.9064294066286023,0.3232017869179609,-0.02425235908825183,0.3232017869179609,0.5832276197106414,664.5455276944078,229.7701078271441,1461.3845762918945
0,20,296,0.8789455654078229,0.5375468212253138,0.16887237015610906,0.5375468212253138,0.34139874418250904,217.1490474340964,165.01238202433288,455.24825232081236
0,1,52,0.9220879283974436,0.32594459478696375,0.2526673893951543,0.32594459478696375,0.5961433336104798,220.826609831353,159.77400511954724,568.495182072172
0,1,489,0.9294179104700935,0.45579683990252295,0.22272668200853307,0.45579683990252295,0.4736210705675705,140.0833383576094,109.37655661872178,378.99059154353233
0,1,433,0.9374320538888529,0.4003728388489998,0.17791598949049753,0.4003728388489998,0.537059215039853,130.80275052743065,103.28914205735326,374.75794619065795
0,15,24,0.9156714340168423,0.5612300986886047,0.16512036738836966,0.5612300986886047,0.3544413353282375,108.74736195058539,85.50701666513383,270.1721342874053
0,5,40,0.8424663365236372,0.02700810202484547,0.038631444103034575,0.038631444103034575,0.8038348924206027,230.34217050276285,180.76491418530642,425.843782166397
0,32,60,0.8829997511300222,0.3470325425723338,0.32247099406248964,0.3470325425723338,0.5359672085576883,220.69702501435745,167.78759157145768,468.66315855875735
0,30,56,0.8945921912890595,0.5479396009645201,0.29547323674649967,0.5479396009645201,0.34665259032453943,207.79135884178382,160.4836187773943,462.47095758892414
0,27,144,0.9658498950686815,0.7372564593492651,0.705130199014876,0.7372564593492651,0.22859343571941637,193.21995705770664,153.24293314851894,743.0460586177844
0,17,93,0.8630800447284883,0.3663152271989505,0.17756877499384208,0.3663152271989505,0.4967648175295378,281.0530052289305,194.12470750758945,547.422198304433
0,12,172,0.8936621243771261,0.49257494953611075,0.32736862349670437,0.49257494953611075,0.40108717484101536,184.48248799612028,135.84915372892021,410.8774703693571
0,31,126,0.913735328984398,0.4965426207469087,0.4384764479024743,0.4965426207469087,0.41719270823748933,130.3641976405569,101.8013440131098,319.998174915544
0,26,142,0.7434149451663304,0.011680545533422267,0.058924432526272774,0.058924432526272774,0.6844905126400577,180.06759537534023,140.84852146295904,269.16514272613847
0,41,135,0.7442829676994714,0.2193455363097113,-0.04310922037244631,0.2193455363097113,0.5249374313897601,0.0021275099161863526,0.0016097132957099433,0.003184271158983677
